item_id,price,developer,release_anio
8850,19.99,"2K Marin,2K China,Digital Extremes,2K Australia,Feral Interactive (Mac)",2010
409720,19.99,"2K Marin,2K China,Digital Extremes,2K Australia,Blind Squirrel",2016
46000,6.99,Ludosity,2010
33230,19.99,Ubisoft Montreal,2010
20820,9.99,Sidhe,2010
47700,19.99,EA Los Angeles,2010
24960,19.99,DICE,2010
43110,,Sin dato disponible,Sin dato disponible
8190,14.99,Avalanche Studios,2010
49600,9.99,Cold Beam Games,2010
31220,,Sin dato disponible,Sin dato disponible
31230,,Sin dato disponible,Sin dato disponible
31240,,Sin dato disponible,Sin dato disponible
31250,,Sin dato disponible,Sin dato disponible
31260,,Sin dato disponible,Sin dato disponible
21090,54.99,"Monolith Productions, Inc.,Timegate",2005
21110,,Sin dato disponible,Sin dato disponible
21120,,Sin dato disponible,Sin dato disponible
49400,,Sin dato disponible,Sin dato disponible
33910,,Sin dato disponible,Sin dato disponible
33930,19.99,Bohemia Interactive,2010
219540,,Sin dato disponible,Sin dato disponible
17410,19.99,DICE,2009
205790,,Sin dato disponible,Sin dato disponible
50130,29.99,"2K Czech,Feral Interactive (Mac)",2011
62100,4.99,Zoë Mode,2010
31280,4.99,Telltale Games,2010
57300,19.99,Frictional Games,2010
21970,,Sin dato disponible,Sin dato disponible
8930,29.99,"Firaxis Games,Aspyr (Mac, Linux)",2010
41000,14.99,Croteam,2009
41050,9.99,Croteam,2001
41060,9.99,Croteam,2002
227780,9.99,"Croteam,Alligator Pit",2014
18040,14.99,Hothead Games,2010
22380,9.99,Obsidian Entertainment,2010
42700,39.99,Treyarch,2010
42710,,Sin dato disponible,Sin dato disponible
62000,4.99,Firemint,2010
40800,14.99,Team Meat,2010
9500,9.99,Cryptic Sea,2004
18700,9.99,Broken Rules,2009
31270,,Sin dato disponible,Sin dato disponible
58200,9.99,Brawsome,2010
70400,19.99,EasyGameStation,2010
41300,0.0,Nimbly Games,2009
41800,14.99,Positech Games,2009
42500,2.99,Dark Water Studios Ltd,2010
49900,4.99,Beatnik Games,2010
55000,9.99,Blendo Games,2010
34330,,Sin dato disponible,Sin dato disponible
63200,4.99,Uber Entertainment,2011
99810,,Sin dato disponible,Sin dato disponible
620,19.99,Valve,2011
42910,9.99,Arrowhead Game Studios,2011
15500,9.99,"Dejobaan Games, LLC",2008
15540,,Sin dato disponible,Sin dato disponible
18500,9.99,Hidden Path Entertainment,2008
26500,9.99,Lazy 8 Studios,2009
35460,9.99,Teotl Studios,2010
38700,4.99,Two Tribes,2010
38720,4.99,Two Tribes,2010
63700,9.99,Gaijin Games,2010
280,9.99,Valve,2004
20920,19.99,CD PROJEKT RED,2011
105600,9.99,Re-Logic,2011
98200,24.99,Mode 7,2011
4500,19.99,GSC Game World,2007
4540,,Sin dato disponible,Sin dato disponible
4550,,Sin dato disponible,Sin dato disponible
9480,9.99,Volition,2009
15620,19.99,"Relic Entertainment,Feral Interactive (Mac/Linux)",2009
20500,19.99,"Volition,Reactor Zero,THQ Nordic",2009
20570,19.99,"Relic Entertainment,Feral Interactive (Mac/Linux)",2010
50620,19.99,Vigil Games,2010
55100,19.99,"Kaos Studios,Digital Extremes",2011
55140,19.99,"Double Helix Games,Rainbow Studios,THQ Nordic",2010
56400,,Sin dato disponible,Sin dato disponible
475150,,Sin dato disponible,Sin dato disponible
96100,1.99,Paul Fisch,2016
35450,19.99,Tripwire Interactive,2011
236830,,Sin dato disponible,Sin dato disponible
72850,,Sin dato disponible,Sin dato disponible
107100,14.99,Supergiant Games,2011
57690,14.99,Haemimont Games,2011
91310,,Sin dato disponible,Sin dato disponible
113200,4.99,Edmund McMillen and Florian Himsl,2011
65800,14.99,Trendy Entertainment,2011
9200,9.99,id Software,2011
41070,,Sin dato disponible,Sin dato disponible
48950,9.99,Vanguard Games,2010
92800,9.99,Zachtronics,2011
104700,0.0,Uber Entertainment,2012
203770,39.99,Paradox Development Studio,2012
203810,,Sin dato disponible,Sin dato disponible
110800,19.99,"Team Bondi,Rockstar Leeds",2011
207610,24.99,Telltale Games,2012
98300,9.99,Signal Studios,2012
50300,29.99,Yager Development,2012
204300,0.0,Ronimo Games,2012
1700,4.99,Arkane Studios,2002
205100,9.99,Arkane Studios,2012
211120,,Sin dato disponible,Sin dato disponible
730,14.99,Valve,2012
49520,19.99,"Gearbox Software,Aspyr (Mac &amp; Linux)",2012
200260,19.99,"Rocksteady Studios,Feral Interactive (Mac)",2012
212680,9.99,Subset Games,2012
200710,19.99,Runic Games,2012
219150,9.99,Dennaton Games,2012
215510,4.99,Ratloop Asia,2012
8870,29.99,"Irrational Games,Aspyr (Mac),Virtual Programming (Linux)",2013
200510,29.99,"Firaxis Games,Feral Interactive (Mac),Feral Interactive (Linux)",2012
220240,19.99,"Ubisoft Montreal, Massive Entertainment, and Ubisoft Shanghai",2012
218680,19.99,5th Cell Media,2012
228280,19.99,Beamdog,2013
212070,0.0,Star Gem Inc.,2013
218230,0.0,Daybreak Game Company,2012
236390,,Sin dato disponible,Sin dato disponible
3483,0.0,"PopCap Games, Inc.",2007
203160,19.99,"Crystal Dynamics,Feral Interactive (Mac),Feral Interactive (Linux)",2013
227080,14.99,Minority Media Inc.,2013
233450,29.99,Introversion Software,2015
43160,,Sin dato disponible,Sin dato disponible
219740,,Sin dato disponible,Sin dato disponible
322330,14.99,Klei Entertainment,2016
222730,9.99,Abbey Games,2013
241600,14.99,Cellar Door Games,2013
238930,19.99,Mousechief,2013
217140,14.99,Interceptor Entertainment,2013
39140,11.99,Square Enix,2013
225080,14.99,Starbreeze Studios AB,2013
239030,9.99,3909,2013
248820,9.99,"Hopoo Games, LLC",2013
239350,14.99,Sin dato disponible,2013
218620,,Sin dato disponible,Sin dato disponible
206420,14.99,Deep Silver Volition,2013
236850,39.99,Paradox Development Studio,2013
47790,19.99,Electronic Arts,2010
47830,,Sin dato disponible,Sin dato disponible
250320,24.99,Telltale Games,2013
250900,14.99,"Nicalis, Inc.",2014
204450,14.99,Techland,2013
233270,14.99,Ubisoft Montreal,2013
251990,9.99,Hanako Games,2013
253980,4.99,Starbreeze,2003
236450,9.99,"Mine Loader Software Co., Ltd.",2013
242050,19.99,Ubisoft Montreal,2013
257350,19.99,Beamdog,2013
213670,29.99,Obsidian Entertainment,2014
238010,19.99,"Eidos Montreal,Feral Interactive (Mac)",2013
245470,24.99,Positech Games,2013
221910,14.99,Galactic Cafe,2013
260230,14.99,Ubisoft Montpellier,2014
238430,9.99,"Monochrome, Inc",2013
261030,24.99,Telltale Games,2013
261570,0.0,Moon Studios GmbH,2015
263980,0.49,MiniBoss,2016
39150,11.99,Square Enix,2013
230230,39.99,Larian Studios,2014
373420,39.99,Larian Studios,2015
232790,19.99,Double Fine Productions,2014
237990,19.99,Stoic,2014
273620,9.99,Volition Inc,2014
222880,9.99,New World Interactive,2014
225840,0.0,Sven Co-op Team,1999
222900,,Sin dato disponible,Sin dato disponible
280220,14.99,Knuckle Cracker,2014
236430,39.99,"FromSoftware, Inc",2014
201810,19.99,Machine Games,2014
294860,19.99,SEGA,2014
295690,0.98,Andy Wallace,2015
238460,14.99,The Behemoth,2014
237930,19.99,Supergiant Games,2014
301480,,Sin dato disponible,Sin dato disponible
303390,0.99,Microblast Games,2014
306660,14.99,Game-Labs,2014
316790,14.99,Double Fine Productions,2015
318430,1.99,"Tomi Maarela,Elias Viglione",2014
241930,19.99,"Monolith Productions,Feral Interactive (Mac),Feral Interactive (Linux)",2014
328080,9.99,Raymond Doerr,2014
282070,19.99,11 bit studios,2014
333930,0.0,Splash Damage,Jun 2015
334120,9.99,Pencil Test Studios,2015
257510,39.99,Croteam,2014
319630,0.0,"DONTNOD Entertainment,Feral Interactive (Mac),Feral Interactive (Linux)",2015
346010,7.99,Spiderling Studios,2015
255710,29.99,Colossal Order Ltd.,2015
232090,29.99,Tripwire Interactive,2016
232150,,Sin dato disponible,Sin dato disponible
377160,29.99,Bethesda Game Studios,2015
340170,29.99,Square Enix,2015
391540,9.99,tobyfox,2015
396660,14.99,Whale Hammer Games,2016
337000,59.99,"Eidos Montreal,Feral Interactive (Linux),Feral Interactive (Mac)",2016
368230,4.99,"Noio,Licorice",2015
496300,14.99,Noio,2016
231430,19.99,"Relic Entertainment,Feral Interactive (Mac),Feral Interactive (Linux)",2013
289130,29.99,AMPLITUDE Studios,2014
268500,59.99,"Firaxis,Feral Interactive (Mac),Feral Interactive (Linux)",2016
461640,1.99,Chandler Rounsley,2016
379720,29.99,id Software,2016
273350,0.0,Turtle Rock Studios,2015
80,9.99,Valve,2004
100,,Sin dato disponible,Sin dato disponible
3910,4.99,Firaxis Games,2001
4000,9.99,Facepunch Studios,2006
6880,6.99,Avalanche Studios,2006
2200,14.99,id Software,1999
2270,4.99,id Software,1994
2280,4.99,id Software,1995
2290,4.99,id Software,1996
2300,4.99,id Software,1994
2310,4.99,id Software,2007
2320,4.99,id Software,1997
2330,2.99,Xatrix Entertainment,1998
2340,2.99,Rogue Entertainment,1998
2350,14.99,id Software,2000
2360,4.99,Raven Software,1995
2370,4.99,Raven Software,1996
2390,4.99,Raven Software,2007
9000,2.99,id Software,1993
9010,4.99,Gray Matter Studios,2001
9030,2.99,Rogue Entertainment,2007
9040,2.99,Ritual Entertainment,1997
9050,4.99,id Software,2004
9060,4.99,Raven Software,1998
9070,2.99,id Software,2005
9160,14.99,id Software,1995
9180,4.99,id Software,1990
4760,9.99,The Creative Assembly,2004
2590,4.99,Black Element,2007
4230,39.99,SimBin,2006
4290,4.99,SimBin,2007
8600,3.99,SimBin,2007
8660,7.99,SimBin,2008
44630,,Sin dato disponible,Sin dato disponible
15310,9.99,Ubisoft Blue Byte Studio,2005
17100,7.99,"Tilted Mill Entertainment, Inc.",2008
17120,2.49,"Tilted Mill Entertainment, Inc.",2008
21000,19.99,Traveller's Tales,2008
17470,19.99,EA Redwood Shores,2008
27000,9.99,Tale of Tales,2009
23700,14.99,Infinite Interactive,2009
22330,14.99,Bethesda Game Studios,2007
9870,,Sin dato disponible,Sin dato disponible
12830,9.99,Codemasters Studios,2009
24800,19.99,EA Los Angeles,2009
40200,9.99,Sabi Games,Oct 2009
40210,9.99,Sabi Games,2009
39900,4.99,ZoopTEK,2010
46410,9.99,ClockStone Studios,2010
33220,,Sin dato disponible,Sin dato disponible
48800,19.99,VStep,2010
70100,4.99,exosyphen studios,2010
70110,4.99,exosyphen studios,2010
70120,4.99,exosyphen studios,2011
9940,2.99,Krome Studios,2010
23490,9.99,Haemimont Games,2009
57600,9.99,Haemimont Games,2010
60600,0.0,Source Studio Ltd.,2010
33950,4.99,Altar Games,2007
12210,,Sin dato disponible,Sin dato disponible
12220,19.99,Rockstar North / Toronto,2010
47810,29.99,BioWare,2010
39670,4.99,Cauldron,2003
90100,,Sin dato disponible,Sin dato disponible
72200,0.0,Giant Army,2011
65070,4.99,"Red Dot Games,PLAY",2013
31700,0.0,ISOTX,2008
21100,19.99,Day 1 Studios,2011
48210,,Sin dato disponible,Sin dato disponible
91900,9.99,Steel Monkeys,2011
70000,9.99,800 North and Digital Ranch,2011
91600,9.99,Coffee Stain Studios,2011
41740,9.99,Ice-Pick Lodge,2011
104200,1.99,Big Fat Alien,2011
22600,19.99,Team17 Digital Ltd,2010
22610,9.99,Team17 Software Ltd.,2010
92100,4.99,Sandswept Studios,2011
104600,,Sin dato disponible,Sin dato disponible
98500,2.99,Game Distillery s.r.o.,2011
94200,9.99,Final Form Games,2011
7600,9.99,"Firaxis Games,Feral Interactive (Mac)",2006
37100,4.99,Citeremis Inc.,2009
16450,14.99,Monolith,2009
97000,9.99,Murudai,2011
3270,4.99,Mindware Studios,2007
15900,9.99,MumboJumbo,2008
15910,9.99,MumboJumbo,2005
15920,9.99,MumboJumbo,2005
15930,9.99,MumboJumbo,2007
15940,,Sin dato disponible,Sin dato disponible
15950,9.99,MumboJumbo,2008
15960,9.99,MumboJumbo,2008
15970,9.99,MumboJumbo,2008
15980,,Sin dato disponible,Sin dato disponible
16000,9.99,MumboJumbo,2008
16020,9.99,MumboJumbo,2008
16030,9.99,MumboJumbo,2008
16040,9.99,MumboJumbo,2008
16060,9.99,MumboJumbo,2009
32110,9.99,MumboJumbo,2009
32120,9.99,MumboJumbo,2009
32130,,Sin dato disponible,Sin dato disponible
32140,9.99,MumboJumbo,2009
32160,9.99,MumboJumbo,2009
60340,9.99,MumboJumbo,2011
22650,9.99,Team17 Digital Ltd,2010
98800,4.99,"Gaslamp Games, Inc.",2011
22230,9.99,ACE Team,2011
34830,7.99,City Interactive,2010
61100,4.99,YeaBoing,2011
32800,19.99,Snowblind Studios,2011
65790,4.99,Bohemia Interactive,2011
107200,9.99,MinMax Games Ltd.,2011
111800,4.99,Swing Swing Submarine,2011
28050,,Sin dato disponible,Sin dato disponible
17710,9.99,"GameConnect,InterWave Studios",2011
63000,9.99,Big Sandwich Games,2011
102840,9.99,Klei Entertainment,2012
55230,9.99,Volition,2011
115100,9.99,Double Fine Productions,2011
80310,9.99,Joshua Neurnberger,2011
65730,19.99,Bohemia Interactive,2011
201280,,Sin dato disponible,Sin dato disponible
71340,19.99,Devil's Details,2011
48240,,Sin dato disponible,Sin dato disponible
61310,6.99,Cipher Prime Studios,2011
24480,9.99,NeocoreGames,2012
1600,14.99,Sonalysts,2006
41900,9.99,inXile Entertainment,2005
105450,39.99,Ensemble Studios,2009
8650,39.99,SimBin,2008
48000,9.99,Playdead,2011
115110,9.99,Double Fine Productions,2012
207170,14.99,Almost Human Games,2012
207650,9.99,Misfits Attic,2012
108200,9.99,Days of Wonder,2012
102600,9.99,Robot Entertainment,2011
208600,,Sin dato disponible,Sin dato disponible
209610,9.99,Pantera Entertainment,2012
15560,,Sin dato disponible,Sin dato disponible
209360,4.99,Doublesix Games,2012
50510,9.99,doublesix,2010
207690,9.99,Amanita Design,2012
210150,,Sin dato disponible,Sin dato disponible
205610,14.99,Gaming Minds,2012
205350,,Sin dato disponible,Sin dato disponible
104900,0.99,"Trek Industries, Inc",2013
205530,9.99,Positech Games,2012
3990,4.99,Firaxis Games,2006
8800,9.99,Firaxis Games,2007
16810,19.99,Firaxis Games,2008
34450,,Sin dato disponible,Sin dato disponible
34460,,Sin dato disponible,Sin dato disponible
211360,7.99,Kyle Pulver,2012
98400,14.99,Flying Wild Hog,2012
204180,1.99,Eden Industries,2012
108800,29.99,Crytek Studios,2011
207730,3.99,ExDream GmbH,2012
204100,19.99,Rockstar Studios,2012
207080,9.99,BlinkWorks Media,2012
209790,9.99,Cipher Prime Studios,2012
213330,19.99,TT Games,2012
212010,7.99,Fishlabs Entertainment GmbH,2012
214360,7.99,SuperVillain Studios,2012
234740,,Sin dato disponible,Sin dato disponible
201790,14.99,Robot Entertainment,2012
108700,9.99,"Remedy Entertainment Ltd.,Mountain Sheep Inc.,Cornfox &amp; Brothers Ltd.",2012
204220,9.99,Retro Affect,2012
202170,74.76,United Front Games,Dato no disponible
33600,5.99,Revolution Software Ltd,1997
214790,3.99,"Edmund McMillen,Tyler Glaiel",2012
72000,9.99,Eyebrow Interactive,2012
218640,9.99,Shiver Games,2012
209540,19.99,Born Ready Games Ltd.,2013
214560,14.99,Klei Entertainment,2012
206440,9.99,Freebird Games,2011
220780,9.99,Bithell Games,2012
204360,14.99,The Behemoth,2012
221260,9.99,Tomorrow Corporation,2012
215790,6.99,ASK Homework,2012
219910,19.99,Daedalic Entertainment,2012
220860,4.99,Sos,2012
65740,32.99,Bohemia Interactive,2012
34030,19.99,"The Creative Assembly,Feral Interactive (Mac)",2010
211160,14.99,"Creative Assembly, PC Port - Hardlight",2012
217060,,Sin dato disponible,Sin dato disponible
43100,14.99,Blue Fang,2009
217790,9.99,City Interactive,2012
223220,14.99,Black Forest Games,2012
4920,9.99,Unknown Worlds Entertainment,2012
33670,14.99,"Akella,.dat",2010
218740,9.99,Might and Delight,2012
219950,7.99,SEGA,2012
38600,9.99,Subsoap,2010
224900,19.99,Reality Pump,2012
223470,9.99,Running With Scissors,2003
223630,,Sin dato disponible,Sin dato disponible
203140,19.99,"Io-Interactive A/S,Feral Interactive (Mac)",2012
205930,,Sin dato disponible,Sin dato disponible
20540,19.99,Relic Entertainment,2009
55110,19.99,Volition,2011
209190,9.99,Curve Studios,2012
226120,4.99,Digital Eel,2013
221640,2.99,Terry Cavanagh,2012
34870,9.99,City Interactive,2013
224420,,Sin dato disponible,Sin dato disponible
105000,9.99,Daedalic Entertainment,2012
221300,,Sin dato disponible,Sin dato disponible
209950,9.99,Spry Fox LLC,2012
4570,12.99,Relic Entertainment,2006
71230,7.99,SEGA,2011
71240,7.99,SEGA,2011
71250,,Sin dato disponible,Sin dato disponible
71260,7.99,SEGA,2011
222980,2.99,CSR-Studios,2012
200900,,Sin dato disponible,Sin dato disponible
35720,19.99,Frozenbyte,2013
209270,4.99,Robot Entertainment,2012
224700,9.99,Virtuos,2013
227300,19.99,SCS Software,2013
204080,9.99,Arrowhead Game Studios,2013
219890,19.99,Alexander Bruce,2013
223850,29.99,Futuremark,Dato no disponible
286080,0.0,Stridemann,2014
224580,49.99,Bohemia Interactive,2013
225260,14.99,Double Fine Productions,2013
218060,14.99,Gaijin Games,2013
217920,19.99,CI Games,2013
227260,29.99,Binary Fortress Software,2013
232950,19.99,Halycon Media GmbH &amp; Co. KG,2013
230150,9.99,Colin Northway with art by Thomas Shahan,2013
225420,19.99,Colossal Order Ltd.,2013
234490,9.99,XYLA Entertainment,2013
233740,4.99,The Men Who Wear Many Hats,2013
235360,9.99,Nival,2013
234900,9.99,"Sean Han Tani,Joni Kittaka",2013
233720,9.99,Bossa Studios,2013
234710,4.99,Telltale Games,2013
220900,4.99,Owlchemy Labs,2013
210770,14.99,Coffee Stain Studios,2013
113020,14.99,Pocketwatch Games,2013
22300,9.99,Bethesda Game Studios,2008
235250,4.99,Coffee Stain Studios,2013
224760,9.99,Polytron Corporation,2013
234650,14.99,Harebrained Schemes,2013
236730,14.99,11 bit studios,2013
215690,14.99,ACE Team,2013
57640,5.99,Revolution Software Ltd,2010
236090,14.99,Humble Hearts LLC,2013
18490,,Sin dato disponible,Sin dato disponible
268540,19.99,Daedalic Entertainment,2014
231160,14.99,"Olli Harjola, Otto Hantula, Tom Jubert, Carlo Castellano",2013
231740,9.99,Behold Studios,2013
242760,14.99,Endnight Games Ltd,2014
242800,2.99,Wild Games Studio,2013
242920,19.99,Shining Rock Software LLC,2014
243120,4.99,Blackpowder Games,2014
228960,9.99,17-BIT,2013
242110,14.99,Hello Games,2013
238050,9.99,Interceptor Entertainment,2013
95000,9.99,SpikySnail,2013
201420,14.99,Two Tribes,2013
237530,,Sin dato disponible,Sin dato disponible
244770,14.99,"Schine, GmbH",2014
244850,,Sin dato disponible,Sin dato disponible
244890,9.99,"Curve Digital,FuturLab",2013
40390,9.99,Piranha Bytes,2012
225640,14.99,Ascaron,2012
246420,9.99,Ironhide Game Studio,2014
40300,9.99,Piranha Bytes,2009
207930,9.99,Southend,2013
234390,12.99,Test3 Projects,2013
246680,9.99,Broken Rules,2014
246900,,Sin dato disponible,Sin dato disponible
255520,,Sin dato disponible,Sin dato disponible
265210,,Sin dato disponible,Sin dato disponible
247020,9.99,Vertigo Gaming Inc.,2013
214770,14.99,DrinkBox Studios,2013
241620,9.99,"CINEMAX, s.r.o.",2012
244070,4.99,Firaxis Games,2013
243780,9.99,"Double Eleven,Q-Games Ltd.",2013
244590,0.0,Dead Shark Triplepunch,2014
248370,6.99,Chronic Logic,2013
248470,9.99,Saibot Studios,2013
248490,5.99,Sin dato disponible,2013
248710,4.99,Sin dato disponible,2013
209000,19.99,"WB Games Montreal,Splash Damage",2013
239820,9.99,Greenheart Games,2013
250260,14.99,Necrophone Games,2014
250460,9.99,ClockStone,2013
250580,9.99,Digerati Distribution,2013
214550,6.99,Klei Entertainment,2014
111900,19.99,Zombie Studios,2013
251530,4.99,11 bit studios,2013
251610,,Sin dato disponible,Sin dato disponible
252010,4.99,JoyMasher,2014
252170,4.99,11 bit studios,2013
252310,9.99,Studio Evil,2013
252370,4.99,Sin dato disponible,2013
252490,19.99,Facepunch Studios,2013
252570,5.99,Dirigo Games,2014
252830,9.99,Hailstorm Games,2014
252910,3.99,"United Independent Entertainment GmbH,Actalogic",2010
253130,,Sin dato disponible,Sin dato disponible
253410,6.99,Crescent Moon Games,2013
253630,19.99,Worthless Bums,2013
253650,4.99,Sin dato disponible,2011
253880,6.99,Reality Pump Studios,2000
259280,,Sin dato disponible,Sin dato disponible
259300,,Sin dato disponible,Sin dato disponible
3370,,Sin dato disponible,Sin dato disponible
3390,4.99,"PopCap Games, Inc.",2006
3480,4.99,"PopCap Games, Inc.",2007
3600,4.99,SpinTop Games,2009
78000,4.99,"PopCap Games, Inc.",2010
3540,4.99,"PopCap Games, Inc.",2008
3620,4.99,"PopCap Games, Inc.",2009
255320,14.99,Daedalic Entertainment,2013
241540,13.98,Undead Labs,2013
224860,8.99,Bohemia Interactive,2013
58520,9.99,Cyanide Studios,2010
204560,9.99,Cyanide,2012
208730,14.99,Cyanide Studios,2012
209730,14.99,Wizarbox,2012
219780,19.99,Larian Studios,2012
231140,9.99,Focus Home Interactive,2013
58610,9.99,Eugen Systems,2012
205650,19.99,Frogwares,2012
255870,8.99,"Double Eleven,Q-Games Ltd.",2013
29900,9.99,Digital Extremes,2009
91100,9.99,Digital Reality,2011
207040,9.99,Digital Reality,2012
217690,9.99,Dreampainters,2013
57740,19.99,"Coreplay GmbH,Bigmoon Studios",2012
245620,19.99,Haemimont Games,2014
247120,0.0,Sin dato disponible,2013
239160,29.99,"Eidos-Montréal,Feral Interactive (Mac)",2014
233130,39.99,Flying Wild Hog,2013
9350,14.99,Gas Powered Games,2007
9420,14.99,Gas Powered Games,2011
39650,9.99,4 Head Studios,2006
39690,19.99,Spellbound Studios,2010
50650,,Sin dato disponible,Sin dato disponible
65530,14.99,Mind Over Matter Studios,2012
214870,19.99,The Farm 51,2012
257690,19.99,CBE Software s.r.o.,2014
257830,9.99,Forever Entertainment S. A.,2013
209390,12.99,Cyanide,2012
231720,4.99,Lucky Frame,2013
233210,14.99,Games Farm,2013
235800,14.99,Dylan Fitterer,2015
45500,4.99,"Ntreev Soft Co., Ltd.",2010
258880,14.99,PlayWay S.A.,2013
258890,4.99,Ex Nihilo,2013
258950,4.99,PolyPusher Studios,2013
259390,3.99,Arachnid Games,2013
259530,1.99,D-Pad Studio,2013
259570,19.99,Flix Interactive,2015
259620,4.99,Phr00t's Software,2011
259780,4.99,Sin dato disponible,2013
212480,19.99,Sumo Digital,2013
259870,4.99,Laughing Jackal LTD,2014
259890,9.99,Actalogic,2012
244090,4.99,Firaxis,2013
207750,8.99,Empty Clip Studios,2012
3020,9.99,Techland,2007
252150,3.99,Spicyhorse Games,2014
262260,6.99,Rake in Grass,2014
221380,19.99,"Skybox Labs,Hidden Path Entertainment,Ensemble Studios",2013
262830,13.99,10tons Ltd,2014
263080,0.99,Giant Box Games,2014
263280,14.99,Oovee® Game Studios,2014
367690,,Sin dato disponible,Sin dato disponible
263360,6.99,Phr00t's Software,2014
263520,14.99,The Domaginarium,2014
263700,6.99,Angry Mob Games,May 2014
264140,9.99,Vitali Kirpu,2015
264280,4.99,"Zaxis Games,B-evil",2014
264300,,Sin dato disponible,Sin dato disponible
260750,9.99,JoWooD Vienna,2004
260770,,Sin dato disponible,Sin dato disponible
264730,,Sin dato disponible,Sin dato disponible
70210,14.99,I Sioux Game Productions B.V.,2010
265870,9.99,Sherman3D,2014
265930,9.99,Coffee Stain Studios,2014
266010,2.99,Thomas Bowker,2014
266330,9.99,Seaven Studio,2014
266390,9.99,Hammer Labs,2013
266840,,Sin dato disponible,Sin dato disponible
266940,6.99,Alawar,2013
267060,4.99,Wales Interactive,2013
267600,9.99,United Independent Entertainment GmbH,2013
267610,9.99,United Independent Entertainment GmbH,2013
267960,9.99,Team 6 Studios,2011
268650,19.99,Brilliant Skies Ltd.,2014
268830,,Sin dato disponible,Sin dato disponible
268850,0.0,EVGA,2014
269270,2.99,Fred Wood,2014
270190,9.99,Chicken in The Corn,2014
270330,4.99,bitSmith Games,2014
270550,1.99,Awesome Games Studio,2014
267670,3.99,attic Entertainment Software GmbH,2014
270750,3.99,attic Entertainment Software GmbH,2014
270760,3.99,attic Entertainment Software GmbH,2014
96200,14.99,Kot in Action Creative Artel,2011
237950,6.99,Altar Games,2007
65780,9.99,Bohemia Interactive,2011
260210,19.99,Ubisoft Sofia,2014
272990,3.99,Étienne Périn,2014
273760,9.99,United Independent Entertainment GmbH,2014
273940,9.99,app2fun,2014
208670,9.99,Gaijin Entertainment Corporation,2012
224480,14.99,Young Horses,2014
12710,9.99,"Triumph Studios,Virtual Programming",2008
12770,9.99,Liquid Entertainment,2008
